score,content_clean,sentiment_predicted
5,alhamdulillah rajin nabung semenjak pake makasih yaaaa,positif
5,recomend,positif
5,good,positif
5,mantap sukses,positif
5,perfecto,negatif
5,bagus tari butuh maksimal,negatif
1,apk jelek gausah instal,negatif
3,fingerprint terkadang suka muncul suka muncul,netral
2,kecewa,negatif
3,coba kaya kasih bintang,netral
4,coba,netral
5,lupa pake kode referral mzocd bonus asli jamin dapet bonus,positif
5,guna pakai kode referral akkbar cashback terima kasih,positif
1,kasih bintang karna alam jual perdana jalan mulus kerja alas kena biaya return klaim bank beli minimal sesuai jual minimal app sulit uang mudah uang belit belit muas,negatif
4,misi kak developer masihh sma kls ktp gimana yah kak,netral
5,bagus beli reksa dana lai pokok bagus,positif
5,org awam mudah ajar,positif
2,udah deposit trus bayar udah hasil tombol jual bintang udah dibenerin sya bintang,negatif
5,kode referal bos kuntil,positif
4,moga sukses,positif
5,moga pengaruh,netral
3,update halaman halaman transaksi keranjang susah gin hapus pesan bingung crash saran min bikinin fitur nabung rutin via shopeepay uinya enak thankyou,netral
5,investor mula cocok banget simpel cepat paham pokok bagus banget selamat coba daftar ojk,positif
5,untung nabung pas duit pas butuh duit samsek narik untung walopun oke bagus guna coba pake ajar kali daftar masukin kode kuascat lho dptin selamat tabung,positif
3,tingkat jangka proses jual beli percepar,netral
5,gimana sih kak kak tuh bingung,netral
1,tari kayak crypto saat gua butuh gua butuh banget duit masuk masuk rekening,negatif
5,bagus,positif
1,dapar nik registrasi daftar gimana jelas nih jagan beres kasi cepat,negatif
5,udah bagus bagus total otomatis auto buy auto sell pasu pasive,netral
2,payah tipu nanam saham ribu panenya perak doang jual udah gitu nilai portofolio turun korupsi udah nunggu banget rugi banget nyesel payah gua sumpahin cepat skam alias bangkrut,negatif
1,wttgtrrr asad,negatif
5,kali pakai simple anti ribet,positif
5,aplikasi bagus lhoo kode refferalnya langsung ketik belajarmenabung pakai petik pas yaa guys uang puluh ribu rupiah coba deh lupa kode refferalnya belajarmenabung moga hasil,positif
5,bagus,positif
1,bagus sayang transaksi jual jual sesuai harga jual jual jam sesuai atur rulesnya customer kecewa sih,negatif
2,harap sedia beli walet dana ovo karna walet,netral
5,tahun pakai untung capai code referal cashback guys mudaberinvestasii,positif
5,logam mulia hsb,positif
5,mantap,positif
1,untung nilai jual ubah turun nilai pdhl sdh jual,negatif
1,tau unistall,negatif
1,jelek masak pake bank jago sih atmin long hapus data terimakasih,negatif
5,guys pake kode reveral dapetim cashback yaa slwyafc,positif
4,bagus,positif
2,daftar sbn suruh daftar bca online pulsa abis kirim sms doang lanjut bad,negatif
1,respon beli jual lambat maksimal,negatif
5,mantab,positif
5,dpt cashback mantapp thanks sukses slalu,positif
5,zas,negatif
2,kasih bintang akun verivikasi maaf perhati,netral
1,susah touch udah kaya mencet kaca basah,negatif
1,buruk,negatif
5,nice,positif
1,ragu infe coba ajah masuk yah cepet gilir jual cari rekening banget,negatif
5,bagus,positif
5,goood,positif
5,gampang,positif
5,bagus,positif
5,bagus rekasa dana fitur robo saran metode bayar dana,netral
5,ajar byk insvest terimakasih byk,positif
1,download anjim,negatif
5,bagus apk lancar bener dah,negatif
3,beli saham proses cepat,netral
5,beneran cashbaknya loh pakai kode patismart daftar registrasi,netral
5,mantap moga manfaat,positif
2,ribet verifikasi bos kuh inves daftar pinjol bro data ktp bos seribet haha apa pakai terima kasih,negatif
5,its dream,positif
5,good,positif
5,mantap,positif
5,mantap,positif
5,bismillah,positif
2,proses lampau,negatif
5,percaya jelek invest bagus mula ngerti invest tari cepet sampe max ragu invest bagus,netral
5,bagus,positif
4,nice,positif
4,reksadana mudah paham,positif
5,mantapppp bagus bgt apknya,positif
1,tangan transaksi super lot beli jual proses lot kaya keong,negatif
1,uang sya tanggal januari blm masuk,negatif
1,ngejual reksadana blom masuk uang kerja,negatif
5,good,positif
3,proses kyc jago mic slalu mati kedengeran suara dri admin,netral
1,cair asw,negatif
5,gabung tabung pilih infestasi aman,positif
5,good,positif
1,ganti email sulit pita poto dah poto emang kyc mudah,negatif
5,mudah tdk ribet,positif
2,proses jual bener bom masuk rekening,negatif
5,top,positif
5,baik,positif
5,tabung uang untung bank uang pakai,positif
5,mantap,positif
5,ayo ajar financial join gak ragu bismillah pakai kode untung,positif
5,kasih rating bintang android kentang ngk bagus apa kendala temu,negatif
2,bagus fluktuasi dana selang ubah dana mentok angka gak gerak blom tari sesuai kondisi pas tari,negatif
5,jos,positif
4,bagus,positif
5,moga berkah indonesia,positif
1,tahap ajar bintang dlu,netral
5,bagus,positif
3,coba bibit,netral
4,coba moga manfaat,positif
5,mantap,positif
5,aman,positif
5,sudara pakai kode referral byphare selamat gabung dgn,positif
5,oke,positif
5,akses kemarin,negatif
4,mantap,positif
5,mantap nih apk hasil cuan cocok kaum rebah,positif
5,mudah berkah,positif
5,gabung keluarga tabung uang sekolah alhamdulillah progress nominal tabung bulan thanks,positif
1,deeplover jaga data salah,negatif
5,bantu,positif
5,terimakasih,positif
5,mantappppppp syuka bangettt awww,positif
5,apk bagus mengunakan referal rezeki dapat bonus cuaaaan,positif
1,kecewa daftar gagal mulu terferivikasi,negatif
1,maaf daftar jago pake skrup lepas,netral
5,apk,negatif
1,halang umur,negatif
5,referal passbond,positif
5,aplikasi guna mula mudah erti lupa masukin kode referral crvosly biar cashback,positif
1,tambahin rekening bsi plis,netral
5,mantap banget,positif
5,tabung aman,positif
1,proses samgat parah kalk,negatif
4,lumayan,netral
5,good,positif
5,bantu,positif
1,buka,negatif
1,cashback pake jago transaksi tunggu udah sampe tuh cashback apa nama beli sih gratis jual kena admin mending dagang pulsa untung,negatif
5,bagus konsisten,positif
2,metode bayar dana gmn tunggu balas muas kasih bintang terima kasih,netral
1,cair verification uang udh langsung kirim rekening nunggu minggu mantap terimakasih untung orngnya sabar,negatif
4,untung,positif
1,verifikasi kse kelar smp payah,negatif
5,tarik,negatif
4,cocok nih mula atur jangka sesuai tuju bintang teman gabung pakai kode zjiqo thanks,positif
2,daftar pillahan muncul keyboard klik didik terkahir sampe,negatif
1,gila dpt ribet ampun daftar pake ktp suruh daftar jago aneh download daftar mending pikir dehh,negatif
5,untung kode referral eoptxbd gamau untung gausah pake,positif
5,mantap,positif
5,apk kasih bintang moga depan diupgrade biar anak muda kaya rajin biar kaya inget beban orang tua sisain semangat anak muda dapetin cashback gunain referal sonzper terima kasih,positif
5,masukin kode arcoz cashback,positif
1,fix jelek banget daftar bank jago salah hapus data gak menu live chat hapus data gak daftar bank jago terima kasih,negatif
5,oke,positif
5,bagus cepat,positif
5,tambah akun demo mai coba coba lumayan ajar dikit dikit,netral
2,kemarin top,netral
4,oke,positif
5,cocok,positif
2,duulu,negatif
5,moga sesuai harap,netral
1,order jual terima tunggu verifikasi bank kustodian jual tolak siklus jual saham,negatif
4,coba coba,netral
5,alhamdulillah,positif
1,regis masukin gak sms mending regis email,negatif
5,moga depan,positif
5,mula kenal reksa dana bantu app dgn saldo minim,positif
5,pakai yuk lupa pakai kode referral afciijg,positif
5,mantap,positif
5,rxsqprf yuk pakai kode referalku,positif
5,maju aman,positif
1,blokir akun jago karna ngerti,negatif
5,bagus ajar cocok,positif
5,orang bagus bingung,positif
5,good,positif
3,blm paham,netral
5,referal kesuwun yuk gass keun,positif
5,very good and fast response thank you,positif
4,tambahin market place jgn bidang finance ajh tgg kabaranya,positif
5,guna mudah,positif
5,mantap,positif
5,suka saham ketimbang nabung bank mending untung jual dapet cashback kena biaya admin karna beda bank dapet gratis moga sukses,negatif
4,moga,positif
1,gak buka knpa nih aman gak sbnr biaya pnrikan gede bngt narik juta msuk doang kmn saldo dmkan pajak gmn smpai biaya pnrikan pajak doang bsar untung,negatif
2,gcg bmh ukur,negatif
5,sayah nga masuk apikasi elor,negatif
1,dasar sampah gak tipu ojk selidik biar gak rugi rakat knp setujuin ojk haris ojk selidik bodong tipu,negatif
5,best,positif
5,mantap,positif
5,sangatttttt bantu,positif
3,maaf update relog ulang teruss,netral
5,mantap,positif
4,coba,netral
1,kadang gabisa buka refres bkin pnik,negatif
5,ref cuwanyuu,positif
3,download uda bln,negatif
5,paten cocok mula,positif
5,lumayan baikk mudah paham tingkat,positif
1,trik dana mkn hmpir masuk pdahal uang pnarikany uadh hsil undi,negatif
5,masuk reff teman dapet uhuii,positif
5,mantap,positif
3,udah bagus sih tpi tambahin produk reksadana syailendra capital,netral
5,cocok investor mula yuk ikut daftar kode referal resolusimaju dapat bonus untung aplikasi,positif
5,bagus sih beli reksadana mudah jual biaya transfer bank tanggung dapet cashback,negatif
5,mantap,positif
5,bantu,positif
5,mantul mula guna lupa masuk kode reffeal afrija,positif
4,mohon metode bayar dana,netral
1,verivikasi pake ktp mohon pencerahanya,negatif
4,acc tambahin bintang ayok dikit,netral
5,coba rekomendasi moga bantu sisih uang jangn lupa pake kode reveral kulunu bonusnua,positif
5,bagus,positif
5,pakai kode pastiuntungyuk biar untung comeonguys,positif
5,untung ayo daftar masuk kode referral small bonus,positif
5,bagus,positif
5,patut apresiasi potong kerja rugi ajak orang rugi loh susah gua mending,negatif
3,sdh sdh jujurli paham kerja ada cerah ajar,netral
5,bismilah,positif
5,mantap,positif
5,mntap,positif
5,aplikasi keren manfaat visi,positif
5,moga depan maju aman,positif
5,like the project,positif
5,awesome,positif
5,bagus tabung,positif
1,dah pakai ktp ktp gak mudah ajar,negatif
5,masuk kode referral kan daftar untung cashback,positif
5,bagus,positif
5,saran min tambahin bank neo commerce pliss,netral
3,masuk kode refelar qysqjis terimakasih bagus sego ttp maju,netral
1,cair bagettt udah minggu ditransksi udah hilang tpi uang blm masuk uang kemna minn,negatif
2,jedag jedug pas dibukak error gimana yaa,negatif
5,bantu ekonomi terimakasih bantu solusi baik jalan tabung tua,positif
5,good,positif
4,log akun log ulang pake otp kali buka mohon baik,netral
5,okoklh,negatif
5,ajar min moga berkah barokah untung beli saham bibit aamiin,positif
2,asli sih nge review recommendasi bintang udah invest untung dikit banget udah pindah portofolio switch produk reksadana alami naik untung alhasil untung gasampe untung kode referal,negatif
5,mantap,positif
5,reksadana model jangka oas simpel bagus keren mantap sahabat trading orang komplain paham tahap pribadi investor,positif
5,keluh sihh app robo invest jga rekomendasi invest dmn bingung klu mula moga lancar invest dsini klu butuh referal xjaero lumayan cashback invest,positif
1,undang teman cashback gak masuk udh jam alas apalaagu temen udh cashbanknya akun jago cashback gak sampe skrang aneh apk jago dah landing pantekk kau penipuuu,negatif
4,coba,netral
5,alam tabung reksadana sisih bulan moga capai wish list,positif
4,senang moga dgn harapkn capai,positif
5,bgus ber,positif
1,kapok inves juara juara lelet juara primitif,negatif
5,silah download daftar ribu bonus ribu masukin kode cua xaxdmjy,positif
1,ajak teman cash back sesuai expetasi,positif
5,masuk kode biar vydeny,positif
4,good,positif
1,tdk bagus ribet,negatif
5,mantap,positif
5,good,positif
5,ntar nagih lupa pake kode yunfrapakebibit biar cashback makasih udah bikin rajin nabung,positif
1,proses jual beli beli mingggu jual minggu coba cepat,negatif
5,bagus banget sihh udah ngerasain investor hahahha ayo buru gabung hhwz butuh code hihihi,positif
5,bagus bgt,positif
5,oke cashback langsung pakai referal lainukm,positif
5,mntap deh pkonya,positif
5,ktp pinjam cepat aman,negatif
5,peduli untung kaga sedia mode malam min,netral
5,bgus,positif
5,bagus mula belajr ivestasi masuk cepat validasi saham dana cepat masuk,positif
1,order jual kirim cek saldo atm masuk kirim,negatif
5,help feedback com thank you,positif
1,jual masuk sekian potong baik bintang,negatif
3,kye,negatif
1,invest pake robot nyampe rekening utuh klu pajak kasih tau potong dasar develop pngen untung kapok invest banyak rugi,negatif
5,pake refereal dapet bojus avrijr,positif
5,bantu pake kode referral waktunyaberubah maksh udh pke kode,positif
5,apk keren bangt,netral
5,bagus pless aman,positif
1,uang gak masuk rekening yah udah minggu,negatif
5,wow,positif
5,referal yiaaa,positif
5,mantap,positif
3,good,positif
5,good job,positif
5,good udah taon wkwk,positif
3,regristasi minggu acc,netral
1,jelek banget gak bantu aplikasi gara kode verifikasi kirim,negatif
5,mantapa,negatif
5,mantap skrang kaya pakai reksadana tahun untung jta,negatif
3,tambahin fitur bayar virtual bank bsi,netral
5,gin loh sat set sat set langsung gak leled kaya puas pelayananya terimakasih,negatif
5,pasu otp kirim sms fapi gabisa masuk,negatif
5,ame,negatif
2,maaf developer coba jual nila ribu masuk cuman ribu sisa jelas mohon kembali sisa nila ribu uang nila harga orang,negatif
5,nanem tggu kaya sawah hektar qkwkkwkwkkw,netral
5,apk tambah ilmu investasi mula masukin kode refefeal liana untung,positif
5,coba smoga amanah,positif
5,yok biar dapet cashback pake kode aapjwcf,positif
5,oke,positif
4,saran metode bayar tamba pake dana khusus pake dana,netral
5,good locking,positif
5,saran min tari uang tambahin wallet gapunya nomer rekening,netral
5,oke,positif
1,kecewa gimana pas transaksi beli cpat masuk beli jual transaksi masuk tunggu masuk reg bank potongn nian,negatif
5,bagus kalih,positif
1,regulasi pangkas tuh masukin modal butuh masukin jumat sore,negatif
3,nitip kode referal kaleea,netral
4,kasih segi vagus coba amburadul miskom contoh kirim emaul daj kirim menit dibilabg terima kirim periksa kirim verpindah selesai kritik moga depan,netral
5,mantul mantap,positif
1,ajg bikin iklan smpe lyr ikhlas,negatif
4,bgus pokok nyh,positif
3,katany daftar member kosong gimana admin bingung,netral
4,jos,positif
5,mantappp,positif
4,oke,positif
5,good,positif
1,saran pakai akun dana,negatif
5,bagus,positif
4,guna kode undang rggwlv biar bonus,positif
5,goood,positif
5,kta apklikasi bagus bantu,positif
5,mantap,positif
5,aman respon layan cepat,positif
2,coba,netral
1,sampah pake kek jaman batu,negatif
5,bilang top,negatif
3,serba cair tari,negatif
5,cashback kuy pakai kode refferal kode sildaina terima kasiiihhh cashback yuk nabung masuk kode refferal nikmat cashbacknya,positif
1,buruk kolaborasi bank jago,negatif
5,dapet cashback masukin kode referral yukahgabung cepet salin dapet cashback,positif
2,kode verivnya masuk nih klo top langsung masuk mohon bantu,negatif
1,proses bagong,negatif
5,download karna tarik iklan podcast dedy corbuzier penasaran gitu,negatif
5,cobatapi bingung,netral
2,duh logout masuk akun kode verifikasi,negatif
1,download asli ambil uang minggu masuk rekening apk beres sumpah,negatif
5,bagus gak ribet sih,positif
1,join daftar untung cair lambat,negatif
3,tari depo moga cepat,netral
5,parah ngelag,negatif
5,the best,positif
1,kesel susah banget daftar udah,negatif
1,sayah udah gak masuk gak masuk,negatif
5,bagus,positif
4,pas login pakai smart login mati trus,negatif
3,apk verifikasi syarat registrasi penuh lengkap,netral
2,tunggu minggu minggu jual dana masuk rekening parah sih keburu mati lapar nunggu dana cair iya cair gak sih nipu nih app,negatif
5,berinvetasi puas banget moga depan cepat terimakasih,positif
3,ajar investasi,positif
5,josht,negatif
5,keren asett,positif
5,naiseeee,negatif
5,halo pake udah jgn lupa pake kode referal tera biar cashback pda daftar cair minggu soalny coba nyairin dana klian urgent pisahin uang invest sma tabung atm moga bantu yah,netral
5,puas pake aman mula,positif
1,udh jual saldo masuk masuk kerja buka trus hilang akun aduuhh hati hati ajh takut udh udh engga mao ulang,negatif
5,bagus,positif
5,masuk kode madthesue casback cocok,positif
5,angin segar,negatif
4,kasi,netral
5,invest tering,negatif
1,beli cepat menit gilir order jual sukses minggu masuk rekening lari uang,negatif
5,oke buka,netral
5,proses sampe hari hei udah minggu turun gila,negatif
3,mantap,positif
5,well for new bie its okay use this code refferal for new user pigshue enjoy your invest,positif
2,transaksi beli jual biaya gede kasih zaman udah serba cepet lelet,negatif
5,bibitinaja,negatif
5,kta proses cepat,netral
5,percaya,positif
5,emang the best,positif
5,apa download hasil rekening bank jago ribet suruh pasport tulis konfirmasi salah hapus,negatif
5,emng mantap,positif
1,susah banget nariknya masuk rekening tarik saha jawab gitu ngga rekomen banget,negatif
1,rekomended banget bos banget profit perak doang potong tekor profit bangkeee,negatif
5,mantab,positif
1,payah vertivikasi gagal mulu udah cantumin rekening bank jago gagal,negatif
3,min punten baik jangka beli jual verifikasi akun tarik dana jgn fasilitas nyaman senang app ini udah jamanya moderen butuh layan fasilitas penuh standar moderenisasi klo salah mohon maaf,netral
5,nice,positif
4,mudah ngga,netral
1,proses kecewa proses beli jual mending invest bank kyk gin proses,negatif
4,pakai kode referal cashback,positif
4,saran tambah fitur catat keluar pasu uang catat untung telah mudah mudah manfaat guna jujur susah untung rugi,netral
1,pakai ktp reksadana khusus ajar,netral
5,mudah,positif
5,yuk ajar nabung saham,positif
5,good app,positif
5,tabung,positif
5,apk asik bantu,positif
5,bagus banget,positif
5,mantap,positif
1,daftar sdh error bgaimna,negatif
1,alam ajar invest trus kembang minus kurang coba jual tarik bca pikir kembali masuk rekening perak sedih bgt untung buntung cocok mula coba kapok,negatif
4,bagus,positif
5,bershukur kenal,positif
5,infestasi mudah,positif
5,kta lancar,netral
5,proses cepat,netral
1,kendal daftar,negatif
5,moga amanah,positif
5,kereeen bangeeet,positif
5,mantap,positif
3,moga cuan,positif
3,jual reksa dana udah hati proses gmna bkin males invest gin aneh bangeut jual beli ngaret,negatif
5,kta proses cepat lancar,positif
3,withdraw proses jual makan,netral
1,narik uang proses banget udah gitu untung rugi heran,negatif
5,samgat bantu trima kasih,positif
5,bagus,positif
5,josss,positif
5,keren,positif
4,kak download aplikasi,negatif
5,bagus aplikasi moga bagus,positif
5,from the best friend forever,positif
1,hadeh ribet jual beli unit rekomen,negatif
5,insaallah berkah,positif
3,min saran tambhkan wallet dana donk biar lengkap setor top guna dana puas bayar via gopay linkaja coba tambhkan dana otomatis nilai kasih bintang,netral
5,mudah gampang uptodate hasil beli mudah tari dana cair loveee,negatif
3,nyoba sih tau btw daftar jago bagus,netral
1,gila order buy sell makan hari minggu minggu investasi crypto terngakak kerja lamban jaman udah canggih serba instan wkwkwkwkkwkwk kapok invest sistem primitif kayak gin wkwkwk,negatif
5,puas,positif
4,layan topup bank bsi guna bsi merger perban bsm bnis bris managemen ada hubung pakai rekomendasi saham syariah topupnya sedia perban syariah bsi terimakasih aplikasi sedia timbang,netral
5,mantappppp,positif
5,keren,positif
5,bocah thn pake,positif
4,bagus blm coba ambil hasil,netral
3,paham,positif
5,ajar,positif
4,topp,positif
2,eror jaring stabil buka lancar gak buka sampe eror kaka,negatif
4,gampang,positif
1,untung jdi ngeri kali bagus,negatif
1,deperbaiki banyak bank transfer transaksi mudah tambah bank bank digital bank neo commerce seabank,negatif
5,keren,positif
3,tambahin mode malam,netral
4,udah makasih min bintang,netral
5,jaya,positif
1,verifikasi proses,negatif
5,nyaman guna,positif
5,cocok suka nabung inti disiplin lupa masuk kode referal gambaroo biar dpt casback,positif
5,bagus banget masukin kode abcdbibitaja selamat tabung,positif
5,terima kasih udah normal kali pake bagus senang saran klo ganggu kasih notifikasi biar kaget,netral
2,pake rekening bank btpn wow gak boss,negatif
2,nich bagus,netral
5,invest aman cepat,positif
1,mending invest deh bgt untung mending invest emas trading emg iya tuh progressnya jangka untung fifty anhjlok naek imbang nahhh modal juta juta doang mah untung dikit bgt ngapain cocok invest ratus juta tuh worth,negatif
1,saranin kasih bintang nih main niat cari untung tpi bibit rugi beli reksadana pas cair pajak aada otak rugi main gabisa hasil rugi cashback potong cashback nama potong uang rugi untung,negatif
5,invest milenial,positif
5,aman mula,positif
5,baguuuus kecewa mendownloadnya,negatif
5,referral akujugabisa langsung cashback ayo ajar reksadana,positif
3,transaksi cepat,netral
3,bagus,positif
5,recommended,positif
5,thanks moga truss kembang baik,positif
2,hadehh udah kena tipu beli reksadana saham liat turun pas udh beli ehh besok langsung down tipu gak tuh,negatif
5,bagus,positif
5,lupa masukin kode firdausn auto dapet lumayan banget tambah,positif
5,biaya rumah sakit operasi orang tua,negatif
5,amazing,positif
3,buka tampil potong kedip kedip klo buka coba reinstall ttp,netral
5,auto cuan pake kode referral alnay jamin,positif
5,nice,positif
4,pake kode referal lumayan bonus cashback menabungyuk,positif
5,udah buka terima kasih,negatif
1,hoax pasang jago dpt casbck undang temen dpt casback hoax hahaha payah,negatif
5,mantul tabung jangka bagus sih,positif
5,goodjob,positif
5,tingkat kualitas,positif
5,mantab,positif
5,alhamdulillah normal buka cek thanks,netral
4,mantap moga depan amin hai tari dana terima notifikasi email dana proses dana terima,netral
5,info cair solanya jangka cair minggu jual bursa kerja tuju bank konvesional sampe cair dana sayyyy gak dana darurat,negatif
5,pakai kode referal yah jaman cashback,positif
3,skrng proses verifikasi data proses gimana beli proses verifikasi,negatif
5,hard log and then you told your sister the response really fast,positif
5,mantap,positif
4,apk buka dah,negatif
5,parah sih mah bagus banget anak muda nabung doang dapet cashback gak ribet jir auto rich people deh gin ayo buru download dapetin masukin kode refferal kixfrrt udah beli reksadana ngeluarin duit gila tuh,positif
3,maaf min bintang registrasi sulit gagal meng registrasi akun bank jago makasih min moga info,netral
5,tarik dana rekening,negatif
5,coba nabung moga konsisten,positif
5,apk bagus cuman transaksinyh lamaa,netral
3,what wrong with reksadan buka buka kali kali buka jaring stabil mohon baik informasi,netral
5,moga saham amin,positif
5,kode referral mbobkas,positif
1,opsi batal beli reksa dana tunggu jam batal otomatis,negatif
2,mantap,positif
1,cair banget astaga udah minggu kaga cair cair,negatif
5,bagus,positif
5,fitur fitur investasi tarik simpel depan metode bayar banyak dana bank lebih mantap laa lupa masukin kode referral ikutialurhidup biar dapet cashback moga cuan,positif
5,bagus,positif
5,mantep aplikasi mudah banget beli udah pake robo ngga ribet gabung pake kode referral ojolalinabunge dapet cashback,positif
1,bos cuman ribu masuk rekening jual rupiah,negatif
3,coba untung full bintang,netral
5,nice,positif
1,dukung,negatif
1,instal apk cair dana minggu dana cair tifak dana segitu masuk dana bnyak kacau,negatif
5,program kelompok masyarakat tani indonesia kmpi,positif
5,coba,netral
5,good,positif
5,terimakasih,positif
5,good app,positif
1,apps mutu widrow landing,negatif
5,syukur banget pake,positif
4,suka dgn app ajar dgn inves,positif
4,kali coba untung coba siaap untung cashback ayo masuk referal syaa basrihs,positif
5,bantu,positif
5,mayan itung itunga nabung coba guys jgn lupa noh referal revolto,positif
2,jual portofolio cair nunggu minggu mending pluang,negatif
3,suka gak tau ngambil ungnya lgi,negatif
5,good,positif
5,biasaaaa,negatif
3,mula,positif
5,kta proses cepat lancar,positif
5,kta prosenya cepat lancar,positif
4,rekomended tabung,positif
5,rekomen banget mahhh,positif
5,bintang bicara,positif
4,jual,negatif
5,siip,positif
5,okey,positif
5,bagus ajar nabung,positif
1,apk ngentott ngedownload apk jago nyah gagal trus dah bangkruttt kali,negatif
5,oke bngt,positif
5,bagus gus gus gus agussss pokok baguss,positif
1,kerja lot serba nunggu suka jual reksa tulis biaya transfer fakta potong gak rekomended,negatif
1,masuk email tolak,negatif
3,registrasi gagal nyoba gagal,negatif
1,buruk kecewa haha,negatif
4,mudah,positif
5,mantap dah bnr sigap layan trpnting sellalu fast,positif
5,bagus,positif
5,bagus mula,positif
4,coba moga beli saham indonesia rubah hidup harap kode referral kcicibibit lumayan dpt ribu,positif
5,bagus mula ajar investasi masuk kofe referral nabungbibituang,positif
5,nice,positif
5,gua ajar kenal tau portovolio udah gampang simple dar masuk sih dirasain the best,positif
4,nice app for investment,positif
5,mantap,positif
5,terima kasih langsung fast respon kendala percaya guys,positif
5,top,positif
5,aman good,positif
5,mantap,positif
3,akun pas login suruh registrasi registrasi,netral
5,mantappp,positif
5,smaga slalu mudah investor,positif
4,order jual order jual dec tgl jan bursa,negatif
1,anjir masukin rek terima bank jago masuk bca lawak nih admin,negatif
4,far puas pake kurang baik masuk password rentan hilang curi takut dana investasi disalahgunakan belah password masuk bahan timbang kembang lolos verifikasi beli nyata hasil lapor imbal hasil prosentase kali saldo,negatif
5,steady,negatif
1,coba,netral
5,hebat masuk kode referal hastanainvest biar bonus,positif
2,ken nyoba tpi blum bgitu phm,negatif
4,coba dlu,netral
5,pakai kode teloronta cashback,positif
5,app buka coba pakai vpn buka tutup mati vpn sih cache ram coba buka uninstall install sekian threat bug versi,negatif
5,update buka tulis halaman web sedia,negatif
5,pinjam uang nyaman,negatif
5,kode reveral dapat cash back adienux,positif
5,app bagus tumbuh ekonomi,positif
5,keren top,positif
1,proses jual beli hari kelar real time mending uninstall,negatif
1,kak narik itu narik kayak nyicil serius kecewa berat sih padhaal status udah order hasil verifikasi,negatif
5,bismillah moga target masuk pucuk,positif
5,kode referal,positif
5,tari lamaa minggu dana masuk rekening deposit cepet ditanyain ngelemparnya bank kustodian appnya buka tulis err name not resolved tanggap,negatif
5,ajar moga harap capai masuk kode referensi carinafkah,positif
3,bgus,positif
5,good,positif
1,penpu uang habis jual reksa dana gak kirim kereningku gondol hbis tabung asuuu tipu taiiii,negatif
5,pakai,positif
5,bantu untung sih disimpen bank goda belanja online,positif
1,gimna tarik dana udah lanjur masuk dana pensiun tarik,negatif
5,app buka kali kali lepas pasang buka bantu min,negatif
5,nanya order hasil jual otomatis masuk rek masuk rek cek mutasi pemberitahuan kait dana masuk mohon jelas kak,negatif
5,bagus banget nyoba infestasi langsung nyambung kodeundangan beneran dapet bagus bangettt,positif
5,good,positif
5,bagus,positif
3,jual tgl desember uang blm masuk rekening emang butuh,negatif
1,tgl des jam proses maksimal kerja tuh team orang propesional utama nasabah utama penting,negatif
4,kasih bintang moga depan,netral
1,uninstall,negatif
5,bantu rencana uang kode referral temanpertama,positif
5,skrng buka,negatif
5,mantap,positif
5,bantu,positif
1,uang jual obligasi gak masuk rekning knp saham obligasi tulis masuk uang gak masuk benar kemablikan uangsaya,negatif
4,apl dpat buka,netral
4,terima kasih team apps masuk harap depan stabil guna tenang transaksi uang aman karna bank kustodian,netral
1,gausah invest sin cair bangeetttt udah minggu cair,negatif
5,oke email udah buka sip,netral
5,terima kasih developer udah proses laman,netral
5,terimakasih alami kendala akses apk jam kendala skrg hasil top chat resmi koment respon cepat,netral
1,helm putih pocong channel youtube sang buru malam,negatif
5,mantap tampil beranta update dpt pemberitahuan email hapus coba install aman lancar terimakasih tim respon tanggap keluh maju,netral
1,investasi uang lewat besok website terjakangkau tipu jam lapor ojk,negatif
4,min apknya bagus pake ewallet dana min tambahin,netral
5,bagus,positif
5,respon cepat tanggap kendala udh gabisa buka gara gara internet stabil pdhl koneksi lncar gda hambat coba lapor responnya cepet udh buka lgi,netral
5,gabosa buka apknya rating hapus mlu anj,negatif
1,scam cashback cair sesuai,negatif
2,dah gak buka aplikasi,negatif
5,mudah aman,positif
4,man tap nabung bibit fitur mudah sesuai mau lupa pake kode ayolajsh dapet cashback,positif
1,pas buka gak muncul tulis halaman gagal buka,netral
2,buka,negatif
2,knpa masuk sih,negatif
5,bagus,positif
3,hai kak applikasi error,netral
1,kecewa apk buka tunggu mohon bantu,negatif
1,susah masuk reaload ttp buka aplikasi gmana inih,negatif
1,buka tau,negatif
1,muat ulang error trus scam gmna,negatif
5,yuk pakai kode referral opcrayx,positif
1,aplikasi buka reksadana,netral
1,buka error,negatif
3,buka reload udh mohon info awat,negatif
1,reload buka trs gimna udh uninstal tetep buka gmn klo ngeri sedap nih uang hilang ganti,negatif
1,kemarin engga buka diupdate udah,negatif
5,mantap,positif
1,udh isi saldo halaman web buka kecewa,negatif
3,apk eror buka,netral
1,macet buka informasi nomor hubung adu trouble admin perhati layan customernya keluh tanggap tangan restart upgrade buka,negatif
1,gabisa akses gimana,negatif
1,masuk mohon baik guna jaring tri masalah masuk,negatif
1,eror nih apps can reload why baik plis malam nih,negatif
2,update buka reload buka solusi min,negatif
5,eror nih udah gak buka,negatif
1,buka fix,negatif
1,gabisa buka gajelas bgt najis,negatif
5,good,positif
1,buka bilang halaman webnya sedia min,negatif
1,maaf nih buka apk yaaa error,negatif
5,ralat the best,positif
4,mohon apk buka eror,negatif
5,cinta,positif
