score,content,content_bersih
5,"Saya semangat terus investasi di bibit, karena aplikasi paling mantap dan cepat respon dan , walaupun cair lama di dikit saya tetap semangat terus, investasi di bibit,bibit emang mantapâ˜ºï¸â˜ºï¸â˜ºï¸â˜ºï¸â˜ºï¸",semangat investasi mantap cepat respon cair dikit semangat investasi emang mantap
5,good,good
5,mantap,mantap
2,Upgrade ke bibit plus susah sekali sudah dari maret sampe sekarang belum dikonfirmasi,upgrade plus susah maret sampe konfirmasi
5,baik,
5,Mantap,mantap
5,bagus,bagus
5,Keren,keren
5,top,top
2,Sering g bisa kebuka,g buka
5,Tambahkan fitur akun hapus akun permanen,fitur akun hapus akun permanen
5,Pelayanan yang sangat baik,layan
5,baguss banget,baguss
1,nyesal nanam saham pakai aplikasi bibit ini...saya beli saham PGEO udah 2 bln masa turun trus?padahal harga minyak naik....dan rakyat biasa lebih banyak di tengki minta Pertamina dari pada tengki minyak swasta....masa bisa saham nya turun terus??? mending pakai ethis aman perhitungan jelas....slalu naik,nyesal nanam saham pakai beli saham pgeo bln turun trus harga minyak rakyat tengki pertamina tengki minyak swasta saham turun mending pakai ethis aman hitung slalu
1,Tidak bisa dibukak,dibukak
5,sangat bagus,bagus
4,Buset ada bug nya,buset bug
1,lemot,lot
5,Semoga bibit semakin didepanðŸ™‚,moga
5,"Aplikasi bibit sangat membantu saya dalam menabung di reksadana, beli obligasi dan saham. Pake kode reveral ' Bibitcas ' untuk dapat rp 25 ribu rupiah dari bibit",bantu tabung reksadana beli obligasi saham pake kode reveral bibitcas rp ribu rupiah
5,"Pake referral ini untuk dapat saldo awal mu copas ""sahamdarisekarang""",pake referral saldo copas sahamdarisekarang
1,"Pendapatan bulanan brp?1Jt,M,Tri,Kdrn...",brp jt m tri kdrn
5,bagus,bagus
3,kenapa mesti bank jago?,mesti bank jago
3,Agak lelet pas dibukanya,lelet pas buka
5,sukses bersama bibit Aminnn ðŸ¤²ðŸ»ðŸ¤²ðŸ»ðŸ¤²ðŸ»,sukses aminnn
2,"Saya sdh kepincut tawaran sukuk+obligasimu di bln lalu, eh skrg aturan baru hny bs lewat rdn wallet. Itu si jago juga..sudah berkenan aktivasi & top up pertama, mau dipake beli reksadana obligasi, eh gagal mulu (setiap ngeklik bayar di bibitnya sll ngeblank), itu saldo sy di jago ngendon jadinya, ga bs saya apa2kan. Edit: Thx atas responnya. Trnyt sbn sedari awal memang hny by rdn wallet. Sdh 2 hari sy ga bs akses bibit, keterangannya koneksi tdk stabil. Ini knp ya?",sdh kepincut tawar sukuk obligasi bln eh skrg atur hny bs rdn wallet si jago kenan aktivasi top up dipake beli reksadana obligasi eh gagal mulu ngeklik bayar sll ngeblank saldo jago ngendon bs edit thx responnya trnyt sbn dar hny by rdn wallet sdh bs akses terang koneksi tdk stabil knp
5,cocok buat pemula. disarankan,cocok saran
5,"Pake bibit dah setengah tahun lebih.. paling suka fitur SIP, investasi dengan sistem auto debit. Rutin invest jadi lebih mudah",pake suka fitur sip investasi sistem auto debit rutin invest mudah
5,Sangat bermanfaat khususnya untuk pemula yang mau belajar investasi,manfaat khusus ajar investasi
1,"pencairan nya lamaaa banget mau pake bank jago pun harus top up dulu, bener2 ribet banget si bibit ini kapok banget aku pake aplikasi ini. temen2 ku mau pakai bibit tidak jadi karna kubilang pencairanlama ðŸ˜… terimakasih semoga kedepan nya bisa lebih diperbaiki lagi",cair lamaaa pake bank jago top up bener ribet si kapok pake temen ku pakai karna bilang pencairanlama terimakasih moga
5,sangat bagus dan keren,bagus keren
5,Bagus,bagus
4,Kenapa SBN gak ke update otomatis di aplikasi?,sbn update otomatis
1,Gak bisa masuk ke aplikasi nya alasan jaringan eror kalo gak ya sampe logo bibit doang,masuk alas jaring eror sampe logo doang
5,sangat bagus,bagus
2,Bintang 3 dulu karena dikenakan biaya materai/pajak. seharusnya reksadana itu objek tidak kena pajak apapun,bintang kena biaya materai pajak reksadana objek kena pajak
5,"Saya sangat suka dengan fitur di aplikasi Bibit mudah dicerna, saya kasih bintang 5! â­â­â­â­â­",suka fitur mudah cerna bintang
5,Bagus ini dari pada aplikasi ajaib,bagus ajaib
1,Mengecewakan... Ternyata uang penjualan maupun pembelian tidak langsung bisa instan... Kita dipaksa untuk menunggu beberapa hari terlebih dahulu... Jikalau kita butuh dana mendadak... Kita tidak bisa melakukan penarikan... Nyesel saya pake aplikasi ini,kecewa nyata uang jual beli langsung instan paksa tunggu butuh dana dadak laku tari nyesel pake
3,"Saya kasih bintang 3 dulu bibit,Apakah aman kalau memasukkan nomor rekening ?",bintang aman masuk nomor rekening
3,"plis kasih akses pake M Banking selain Jago min, Jago banyak trouble jadi malas invest di bibit",plis akses pake m banking jago jago trouble malas invest
5,menarik,tarik
1,Pencairan lama mengecewakan,cair kecewa
5,good,good
5,"Bibit bagus,mengenai permasalahan langsung ditindak lanjuti. Tidak ribet dan masalah terpecahkan. Terimakasih",bagus kena langsung tindak ribet pecah terimakasih
4,"sudah nglakuin berbagai cara untuk menghindari biyaya admin tou up ternyata ga bisa ,makek bank jago sama aja isi bank jagonya jga ada adminnya.",nglakuin hindar biyaya admin tou up nyata makek bank jago isi bank jago jga adminnya
1,Dari dulu download apk bibit dan dari dulu gw gabisa ugrade sampe upload dataÂ² tetep aja gk bisa awas aja data gw di pake sembrono,download gw gabisa ugrade sampe upload data tetep awas data gw pake sembrono
5,Cukup membantu dalam berinvestasi di aplikasi bibit ini buat hari tua dan buat anak sekolah di masa depan,bantu investasi tua anak sekolah
5,Bibit memudahkan kita untuk menabung sejak dini ... Jgn lupa pake kode referal 6xicojc,mudah tabung jgn lupa pake kode referal xicojc
4,mantap,mantap
5,mudah di gunakan,mudah
1,"Ini gimana sih data nya gak akurat banget ya, perasaan kemarin harga rdpu ada yg naik 7,5%, sekarang jadi 4,8% Saya merasa dirugikan dengan aplikasi sialan ini",gimana data akurat asa kemarin harga rdpu rugi sial
3,"tolong waktu verifikasinya dipercepat ya min, jangan harus nunggu 3hariâ˜º",verifikasi cepat nunggu
3,"Sebenarnya aplikasi ini bagus TAPI HARUS SEDALAM ITU SAMPE HARUS TAU NAMA GADIS IBU KANDUNG. HARUSNYA KTP SAJA SUDAH CUKUP. KALAU SEPERTI ITU NAMANYA KITA MENYERAHKAN REKENING KITA KE APLIKASI BIBIT,, UNTUK SAAT INI AMAN TP TERJADI KRISIS KAYA 98 YAKIN MASIH AMAN,, SAYA RAGU KARENA BIBIT TERLALU DALAM MEMINTA DATA KITA.",bagus sampe tau nama gadis kandung ktp nama serah rekening aman krisis kaya aman ragu data
5,unggul.,unggul
5,stockbit punya,stockbit
5,mantapp,mantapp
5,good,good
1,"Jangan di bikin ribet dong perivikasinya,saya yang masih sekolah pengen nabung/investasi jadi susah kan jadinya,tolong di permudah",bikin ribet perivikasinya sekolah ken nabung investasi susah mudah
1,Mengapa waktu yang di butuhkan untuk verifikasi bibit plus lebih lama dari yang di butuhkan berkisar 4 jam hingga satu hari setelahnya dan ini sudah 3 hari masih belum selesai?,butuh verifikasi plus butuh kisar jam selesai
4,dapat memudahkan bagi pemula,mudah
5,sangat bagus buat nabung cobain deh saldo anda bertambah sedikit sedikit,bagus nabung cobain saldo
5,mantap,mantap
3,"Min aplikasi bibit gak bisa dibuka, mentok di logo bibitnya terus. Mohon solusinya",buka mentok logo mohon solusi
5,cocok untuk pemula dan mudah d gunakan,cocok mudah d
2,Verifikasi pendaftaran dibilang 4 jam atau maksimal 1hr. Sampai hari ini sdh 2 hari juga belum selesai. Aplikasi abalÂ²?,verifikasi daftar bilang jam maksimal hr sdh selesai abal
5,ok,
5,Aplikasi sangat bagus,bagus
5,bagus banget,bagus
5,baru pakai 5 hari cuman udah bagus ini,pakai bagus
5,mantap,mantap
1,Selamat tinggal bibit soalnya saya kurang cukup paham dan tolong hapus akun saya,selamat tinggal paham hapus akun
5,Dapatkan cashback reksa dana dari Bibit Masukkan kode referral ini saat pendaftaran: *pejuangrupia*,cashback reksa dana masuk kode referral daftar pejuangrupia
5,"Terima untuk bibit ðŸ™ðŸ¼ðŸ‘ðŸ¼ saya sudah memakai bibit selama 3 tahun, semunya aman ðŸ‘ðŸ¼ðŸ™ðŸ¼",pakai semu aman
1,"Lama bener upgrade plusnya ðŸ—¿, beli produk invst aja juga lama ga sat set",bener upgrade plus beli produk invst sat set
5,Alhamdulillah,alhamdulillah
5,sangat berguna untuk investasi,investasi
5,bagus banget fitur-fitur ya lengkap dan ringan di pakai,bagus fitur fitur lengkap ringan pakai
5,mantap,mantap
5,good,good
5,"baru pertama kali pakai , tapi hasilnya Alhamdulillah... kecil emang tapi buat aq yang pemula ini sebuah pencapaian bagus sih... pokoknya bibit oke deh approve kalau hehe membantu soalnya...",kali pakai hasil alhamdulillah emang aq buah capai bagus pokok approve hehe bantu
5,sangat luar biasa inves lebih berharga,inves harga
5,baik,
5,keren,keren
5,keren,keren
2,masih nyoba2 klo juoss tmbh bintang ny,nyoba juoss tmbh bintang ny
5,sangat baik,
5,ðŸ˜˜ðŸ˜˜ðŸ˜‚âœŒï¸ðŸ¤—,
5,Semangat menabung di bibit,semangat tabung
2,ribet ga kaya dulu skrng invest harus pke bca pke rdn jago dipersulit,ribet kaya skrng invest pke bca pke rdn jago sulit
5,secara keseluruhan sangat baik,
5,Coba mudah2 amanah,coba mudah amanah
5,kereen buat investasi,kereen investasi
4,"Sudah bagus fungsinya tapi aplikasinya sering eror, loading lama",bagus fungsi eror loading
5,bagus,bagus
5,ðŸ‘,
5,mudah berinvestasi sesuai profil investor,mudah investasi sesuai profil investor
5,aplikasi terbaik untuk belajar investasi,ajar investasi
2,"Menunggu bukti kepemilikan SBN yang sangat lama, padahal saya invest di aplikasi lain tanggal sudah sesuai yg tertera, tp dibibit luamaaaaa",tunggu bukti milik sbn invest tanggal sesuai tera luamaaaaa
5,"Saya sudah mencoba semua apk investasi yg legal,bibit unggul dalam produk reksadana dan yang paling saya suka adalah cs yang ramah dan fast respon.Banyak apk legal sejenis yg secara fitur mungkin lebih baik,namun sayang tidak di imbangi dgn cs yg memadai.",coba investasi legal unggul produk reksadana suka cs ramah fast respon legal jenis fitur sayang imbang dgn cs
5,Bagus,bagus
5,mantap,mantap
3,suka keluar akun sendiri,suka akun
5,bagus,bagus
5,Josss,josss
1,"Nggak aman. 3 kali harus ganti password padahal udah masukin password yang bener. Terus terusan minta NIK, bisa beli tapi nggk bs buka bibit plus. Harus pake bank jago lah, punya akun stockbit lah. Nggak recomended, hati hati ges",aman kali ganti password masukin password bener nik beli nggk bs buka plus pake bank jago akun stockbit recomended hati hati ges
1,"apalah, konfirmasi buat akun aja sampe video call, RIBET, biar apa coba gitu, say goodbye dah langsung uninstal, mending pake aplikasi lain",konfirmasi akun sampe video call ribet biar coba gitu say goodbye langsung uninstal mending pake
1,Aplikasi gajelas,gajelas
5,oke,
5,ok lah,
5,bagus,bagus
5,sejauh ini puas untuk pemula yang belajar investasi Reksadana saham fitur mudah digunakan,puas ajar investasi reksadana saham fitur mudah
5,"cocok banget buat mahasiswa yang ingin belajar investasi, silahkan kalian yang ingin bergabung ðŸ™ðŸ™ðŸ™",cocok mahasiswa ajar investasi silah gabung
5,"Aplikasi terbaik sih, tinggal ditambah pilihan invest emas pasti app lain kalah",tinggal pilih invest emas app kalah
5,bagus,bagus
5,aplikasi mudah bagi pemula cuma kadang akses awal loading nya lama,mudah kadang akses loading
5,sangat membantu,bantu
5,Masih belajar investasi,ajar investasi
5,ok,
5,"gampil, saya yg gaptek aja bisa",gampil gaptek
1,"Aplikasi ampas mau ngejual ajah lama banget nunggunya mending gw maen di pluang langsung cair duitnya, demi apapun nyesel gw pake bibit, pdahal butuh dana mendesak malah lama banget di proses buruh 3-5 hari asyu",ampas ngejual ajah nunggunya mending gw maen pluang langsung cair duit nyesel gw pake pdahal butuh dana desak proses buruh asyu
5,very nice,very nice
5,"Nah sip, terima kasih sudah memperbaiki bug yang ada",sip bug
4,semoga amanat,moga amanat
1,Tidak bisa nambah bank pencairan dana syarat nya ribet ga sat set kayak ber tele tele verfikasi wajah berulang ulang hasil nya bertele tele,nambah bank cair dana syarat ribet sat set ber tele tele verfikasi wajah ulang ulang hasil tele tele
5,mantap,mantap
5,Mantap,mantap
5,"untuk baru mulai mungkin masih ada kendala, seperti kebingungan dengan sistemnya, untungnya pihak cs sangat membantu, jika menghubungi lewat wa langsung dijawab dengan cepat, gk ragu saya memberikan bintang 5",kendala bingung sistem untung cs bantu hubung wa langsung cepat ragu bintang
5,sangat bagus buat Reksadana dan Obligasi,bagus reksadana obligasi
5,bagus,bagus
5,"Tambahkan fitur hapus akun permanen, ..",fitur hapus akun permanen
5,Oke banget,
5,ðŸ‘,
5,keren & puas,keren puas
5,Coba dulu,coba
5,Terimakasih,terimakasih
5,"Yukk para kaum muda mulai investasi lewat bibit, daftarkan sekarang dan jangan lupa pake kode referral ""bibitjadiduiit"" Buat dapatin cashback 25rbu Lindungi masa depan kamu dengan investasi lewat bibit Terimakasih",yukk kaum muda investasi daftar lupa pake kode referral bibitjadiduiit dapatin cashback rbu lindung investasi terimakasih
1,"Ribet pencairannya lama bnget 2 minggu menunggu blm ada, Awalnya doang yg lancar Dari bebrapa kali saya pakai sampai kmrin setiap penarikan ada beberapa yang laporam selesai uang belum ada berminggu2 tidak jelas",ribet cair bnget minggu tunggu blm doang lancar bebrapa kali pakai kmrin tari laporam selesai uang minggu
5,bagus untuk pemula dan masa depan,bagus
1,"Tolong lah klo pencarian dana jangan lama , padahal udah 4 bulan lebih tp sampe sekarang dana / uang gw belum masuk ke rekening bank, parah",cari dana sampe dana uang gw masuk rekening bank parah
4,Kenapa stlah update aplikasi susah di buka?,stlah update susah buka
5,tempat investasi yg mantap,investasi mantap
5,Dapat dipercaya. Dan recommended untuk pemula,percaya recommended
1,Reff : aksesbibit,reff aksesbibit
5,sangatlah bagus untuk berimvestasi di aplikasi bibit.,bagus berimvestasi
1,Cairin dana nya ribet.,cairin dana ribet
5,Susah sekali untuk proses jual. Gangguan terus,susah proses jual ganggu
5,keren,keren
5,saya suka aplikasi ini. membuat impian saya tercapai semua. Masya Allah tabarakallah,suka impi capai masya allah tabarakallah
1,"Saya masukkan uang di obligasi 100k, saya tarik gak masuk uang nya ke bank saya ..",masuk uang obligasi k tarik masuk uang bank
5,mudah diakses,mudah akses
5,"Sangat bagus, saya berhasil mengumpulkan uang menikah karena nabung di sini",bagus hasil kumpul uang meni nabung
1,"Tidak baik, mau upgrade ke bibit plus saja lama tunggu berhari hari ðŸ˜ nyesal download",upgrade plus tunggu nyesal download
5,Adminnya ramah bintang 5,adminnya ramah bintang
4,"Lumayan, tapi penarikan uangnya lambat",lumayan tari uang lambat
5,bagus,bagus
5,istimewa,istimewa
1,"Saya jual -270ribu lebih, dua hari di proses minus nambah jadi 350 lebih? Maksud nya apa? Haha aplikasi penipuan janga coba investasi disini",jual ribu proses minus nambah maksud haha tipu janga coba investasi
2,"Daftarnya benerÂ² ribet bnget, ntah dari tahap pertama sampai tahap apa atau berapa saya ga tau, intinya jangka waktu saya untuk mendaftar agar bisa berinvestasi 5-6 hari, ini pun tinggal tahap terakhir dan besok belum tentu bisa selesai. Dalam beberapa verifikasi data diri pun ada beberapa masalah juga yang mempersulit dan mengulur waktu. Tolong lh.. Yang tadinya pengen invest tau daftarnya kyk gini tohh jadi males ya.",daftar bener ribet bnget ntah tahap tahap tau inti jangka daftar investasi tinggal tahap besok selesai verifikasi data sulit ulur lh ken invest tau daftar gin tohh males
5,bagus untuk pemula mudah dipahami,bagus mudah paham
1,"uang saya yang di jual beda dgn yg masuk ke rekening. Setiap yang saya jual terpotong 3.500. Dan di setiap jenis nya terpotong lagi 3.000. terlalu banyak potongan. Dan sampai sekarang, uang saya sebagian belum masuk.",uang jual beda dgn masuk rekening jual potong jenis potong potong uang masuk
1,Hallo bibit ini bagaimana si saldo aku ga bertambah2 awalnya aku isi 120 ribu tapi masih 120 ribu ga ada penaikannya....untuk ga topup gede ...terus juga ini kenapa ga bisa di ambil uangnya please bantu dong di inbox di tiktok jg ga ada respon sama sekali,hallo si saldo isi ribu ribu topup gede ambil uang please bantu inbox tiktok jg respon
5,bagus banget lumayan bunga nya,bagus lumayan bunga
5,"mantap, sangat userfriendly. Cocok utk belajar",mantap userfriendly cocok utk ajar
3,"masih dalam pengujian nanti saya tambah lagi bintangnya, untuk saat ini masih aman",uji bintang aman
4,oke untuk pemula,
1,"Aplikasinya bodong udah jual portofolio pasar uang , uangnya gak masuk masuk , katanya pencairan bursa dalam 7 hari ini udah 12 hari uang gak masuk masuk juggak",bodong jual portofolio pasar uang uang masuk masuk cair bursa uang masuk masuk juggak
2,"yang lainnya okelah. hanya agak jenuh di pencairannya ataupun penjualan yang makan waktu 7 hari kerja belum misalkan jika transaksi nya di hari sabtu dan Minggu makin nambah lagi lamanya, malah jika diambil rata rata dana akan masuk rekening nunggu selama 9hari. semoga bibit bisa merubah durasi daripada bursa efek 7hari malah bisa 9hari tersebut menjadi 2hari max.",jenuh cair jual makan kerja transaksi sabtu minggu nambah ambil dana masuk rekening nunggu moga rubah durasi bursa efek max
5,sangat membantu,bantu
5,"Seneng banget dengan aplikasi bibit, selain karena ada fitur robo advisor yang ngebantu kita para investor pemula, juga ada fitur syariahnya sehingga bisa lebih lega lagi berinvestasi tanpa takut riba, gharar, dsb. Saran untuk bibit kedepannya semoga bisa mendukung RDN Jago Syariah di Bibit Plus, supaya bisa lebih fleksibel lagi",neng fitur robo advisor ngebantu investor fitur syariahnya lega investasi takut riba gharar saran moga dukung rdn jago syariah plus fleksibel
3,"Lama betul tanam nya , bisa di cepat kan tanamnnya jangan lama",tanam cepat tanamnnya
5,"Alhamdulillah aplikasi bibit sangat membantu untuk bisa berinvestasi dengan jalur yg baik ( ada sistem syariah ) . Aplikasinya mudah di gunakan bahkan oleh orang awam yang baru belajar reksa dana, untuk rekan-rekan yang ingin mendapatkan CASH BACK Rp 25.000 bisa menggunakan referal kode ""majubersama"" (tanpa tanda petik). Jika ada kesulitan silahkan bertanya,sama sama kita belajar . terimakasih. UDAH PAKE BIBIT DARI 2019, MANTAP AMAN!! Aplikasi udh teruji smpe sekarang. Mari kita melek investasi",alhamdulillah bantu investasi jalur sistem syariah mudah orang awam ajar reksa dana rekan rekan cash back rp referal kode majubersama tanda petik sulit silah ajar terimakasih pake mantap aman uji smpe melek investasi
1,"Aplikasinya jelek, elor terus mana tf nya lama lagi",jelek elor tf
1,Masi tahap coba2 . Pembelian lama . Pencairan lama ada logo petir pun tetep lama . Saya tidak cocok,mas tahap coba beli cair logo petir tetep cocok
3,"Lama bgt jualnya, menunggu verifikasi manager investasi dulu.kerjanya ngapain aja sih",jual tunggu verifikasi manager investasi kerja ngapain
3,Kenapa hari bibit gak bisa di buka?,buka
5,Aplikasi nya sih bagus cuma sayang nya untuk penjualan serta pencairan uang nya lama banget harus nunggu 7 hari,bagus sayang jual cair uang nunggu
1,Jangan mau pakai!!! Pencairan uangnya sangat lama!!! Lebih baik lari ke emas aja ini lambat,pakai cair uang lari emas lambat
5,Lama banget proses pencarian nyaðŸ˜­udeh seminggu,proses cari udeh minggu
1,"Verivikasi dan pencairan dananya terlalu lama, . Sangat disayangkan",verivikasi cair dana sayang
1,"Untuk bibit plus Tidak mendukung dgn Rekening Jago Syariah, padahal sudah usahakan pakai Jago, eh ternyata harus pakai Jago Konvensional atau BCA, al-Hasil ga jadi Investasi saham via Bibit, tp pakai sekuritas biru.",plus dukung dgn rekening jago syariah usaha pakai jago eh nyata pakai jago konvensional bca al hasil investasi saham via pakai sekuritas biru
1,Mulai inves masukin duit cepet pas di tarik seminggu ga cair2 wk,inves masukin duit cepet pas tarik minggu cair wk
5,"Sangat berguna sekali untuk kita yang masih muda bisa menabung rutin untuk masa depan, jika anda mau cashback 25 ribu masukkan referal ""sunariopasti"" pada saat kalian mendaftar.. Selamat mencoba",muda tabung rutin cashback ribu masuk referal sunariopasti daftar selamat coba
5,"Selama nabung di bibit selalu untung. Mudah aplikasinya dan lengkap, semua aplikasin investasi ini paling rekomen. Semangat terus bibit semoga banyak juga yang nabung di bibit",nabung untung mudah lengkap aplikasin investasi rekomen semangat moga nabung
5,investasi sejak dini,investasi
5,Ok,
5,good,good
5,saya optimis nyimpan duit cara ini,optimis nyimpan duit
2,Udah lebih dari 3 hari kerja kok masih belum bisa lakuin switching? Aneh..harus nunggu berapa lama? Hmmmm,kerja lakuin switching aneh nunggu hmmmm
2,Mdh d gunakan tp sayang ribet diupgrade klo pngen beli saham,mdh d sayang ribet diupgrade pngen beli saham
5,bgus bnget,bgus bnget
5,Fitur lengkap,fitur lengkap
4,bagus,bagus
1,Lgsg saya uninstall ketika proses registrasi meminta nama ibu.,lgsg uninstall proses registrasi nama
5,bagus,bagus
4,Lama banget ya ini verivikasi nya mohon maaf tolong dipercepat ya bibitðŸ˜Š,verivikasi mohon maaf cepat
1,Login nya kelamaan,login
1,Lelet,lelet
5,Sangat terbantu untuk pemula yg mulai belajar investasi. Chat support yg selalu ready 24 jam ngebantu. Terima kasih bibit.,bantu ajar investasi chat support ready jam ngebantu
1,"Mending investasi emas please daripada di bibit, nabung 15jt abis jd 14jt sekian, ga cocok untuk pemula kayaknya yg berharap dpt untung atau uang dgn nominal ttp",mending investasi emas please nabung jt abis jd jt sekian cocok harap dpt untung uang dgn nominal ttp
5,Keren,keren
5,Oke,
5,bagus,bagus
1,"Susah banget mau daftar jadi plus, nulis alamat dll eror mulu tulisannya ilang2 bikin emosi",susah daftar plus nulis alamat eror mulu tulis ilang bikin emosi
3,tambah emas min!,emas
1,"Pencairan dana nya lama, efek nya ... hasil penjualan reksa dana saya minus 30% ....",cair dana efek hasil jual reksa dana minus
5,Bagus aplikasinya,bagus
4,Mantap,mantap
5,apl in sangan bermanfaat bagi semua orang terima kasih,apl in sangan manfaat orang
1,apabila sudah tidak perlu digunakan dana yang ada tidak bisa ditarik,dana tarik
5,Jelas jg lah,jg
5,semoga kedepannya lebih baik,moga
4,mencoba . .,coba
3,Menurut saya aplikasi sangat bagus hanya saja untuk penjualan aset dan pencarian dana sangat lama,bagus jual aset cari dana
2,"Penjualan Reksadana Lama banget,blm lg untuk masuk ke rekening pribadi memakan waktu lagi.",jual reksadana blm masuk rekening pribadi makan
5,Sangat mudah dimengerti dan robo nya sangat membantu,mudah erti robo bantu
5,Good Job,good job
2,Pelayanan jelek,layan jelek
5,"bagus, pertahankan.",bagus tahan
5,siap,
5,Bagus,bagus
2,Ga bisa d buka tolong donk ini knpa??,d buka donk knpa
5,"saya baru mau,mencoba semoga bermanfaat",coba moga manfaat
5,semoga investasi ini bertahan lama,moga investasi tahan
5,Baru belajar,ajar
5,ma sya Allah tabarakallah,ma sya allah tabarakallah
5,good,good
2,"Kalo ada link berita atau artikel di dalam aplikasi, selesai baca langsung keluar. Ga balik ke halaman sebelumnya secara otomatis",link berita artikel selesai baca langsung halaman otomatis
5,sangat bermanfaat ðŸ‘ðŸ‘ðŸ‘,manfaat
1,"penarikan 100rb aja udah 5 hari ngga cair cair uang nya, seolah olah penarikan 100 miliyar lama banget ampun dah",tari rb ngga cair cair uang olah olah tari miliyar ampun
3,bagus,bagus
4,sangat membantu bagi pemula seperti saya,bantu
4,Penampilan semakin bagus jika bisa Reksadana ada yg return diatas 5%,tampil bagus reksadana return
5,Apk sudah pakai 5 bulan sangat membantu untuk para pemula dan chat suport responsif dan membantu,pakai bantu chat suport responsif bantu
5,ðŸ‘ðŸ‘ðŸ‘,
5,goods i like,goods i like
5,Bagus buat para investor pemula kayak saya,bagus investor
5,menabung kecil-kecilan,tabung
1,Aplikasi tolol loding doang,tolol loding doang
5,Sungguh baik,sungguh
5,Good...,good
5,Bagus,bagus
3,"Udah hampir seminggu stuck ditampilan awal gabisa kebuka sama sekali padahal lagi butuh untuk pencairan dana udah install ulang beberapa kali tetep gabisa, agak kecewa sih",minggu stuck tampil gabisa buka butuh cair dana install ulang kali tetep gabisa kecewa
5,infestasi terpercaya,infestasi percaya
5,"Saran nih, buat bibit Coba tambahin fitur yg lebih detail perusahaannya di saham dan ""news"" lebih sering di update",saran nih coba tambahin fitur detail usaha saham news update
5,good,good
5,sangat puas,puas
5,mantap ....gak ribet,mantap ribet
5,jos,jos
5,aplikasi baguss,baguss
5,oke,
1,"Thanks bibit sudah membuang peluang sy untuk beli saham,setelab seminggu daftar dan d tolak trus alasan nik ga sesuai padahl sesuai ktp dan ada photo jg sungguh aneg bahkan sudh video call dengan staffnya via google tetap ga bsa,akhirnya sy putuskan tidak jd daftar krn momen sudh hilang",thanks buang peluang beli saham setelab minggu daftar d tolak trus alas nik sesuai padahl sesuai ktp photo jg sungguh aneg sudh video call staffnya via google bsa putus jd daftar krn momen sudh hilang
3,Terlalu ribet dan lama untuk perdaftaran,ribet daftar
5,amazing,amazing
5,Pencairan dana lama,cair dana
4,Jos,jos
5,bagus,bagus
5,goodðŸ‘,good
5,pilihan terbaik..,pilih
5,mantapppp,mantapppp
5,siplah,sip
5,baik untuk investor pemula,investor
5,Nice app,nice app
5,mantap investasi di bibit,mantap investasi
5,bagus di awasi ojk,bagus awas ojk
5,mudah untuk di gunakan,mudah
3,"Saya investasi di bibit selalu gagal dan eror karena bibit menggunakan akun rekening virtual, apa ada opsi untuk beli lewat rekening bank biasa?",investasi gagal eror akun rekening virtual opsi beli rekening bank
2,Aplikasi gak bisa dibuka,buka
1,Penarikan di rdpu sangat sangat lama ðŸ˜Œ,tari rdpu
4,very good,very good
4,"mau upgrade bibit plus susah bner, akun bank jago nya susah masuknya, ribet banget",upgrade plus susah bner akun bank jago susah masuk ribet
2,"Udah 5 hari kerja, belom cair juga",kerja bom cair
1,Pemeliharaan kok dihari kerja bukannya waktu libur,pelihara kerja libur
5,nice,nice
5,bagus di awasi ojk,bagus awas ojk
1,loadingnya lama,loadingnya
1,Bibit ada bug saat geser grafik aplikasi ngeleg dan tidak bisa lihat detail dari grafik saat geser Border kemarin bisa dalam seminggu terakhir tetap lemot saat di sentuh grafik karena penasaran saya pake perangkat lain tetap sama ngeleg,bug geser grafik ngeleg lihat detail grafik geser border kemarin minggu lot sentuh grafik penasaran pake perangkat ngeleg
1,rusak rusak mau registrasi lama pdhl internet lancarðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž,rusak rusak registrasi pdhl internet lancar
5,"Menurut pendapatku mengenai aplikasi bibit bagus untuk invesment pemula krna fitur nya mudah & sangat mudah di pahami, setelah saya memakai bibit alhamdulillah bisa mendapatkan keuntungan walaupun tdak terlalu besar, sangat bagus banget untuk pemula",kena bagus invesment krna fitur mudah mudah paham pakai alhamdulillah untung tdak bagus
2,Knp masuknya lama amat sii 30 menit sy tunggu ga masuk juga kedalam apk padahal jaringan lancar,knp masuk sii menit tunggu masuk jaring lancar
3,PENCAIRAN SANGAT LAMA,cair
3,ini bibit gimana ya cara ngambilnya? kok udh seminggu lebih ga masuk' ke bank,gimana ngambilnya minggu masuk bank
5,keren bisa nabung ðŸ‘†ðŸ‘ðŸ‘,keren nabung
1,tidak ada call cwnter tidak dapat memuaskan costumer,call cwnter muas costumer
1,"Lemot , apa apa gk bisa cepat",lot cepat
5,"aplikasinya mudah digunakan, terpercaya",mudah percaya
1,Kok lemot bnget apk nya,lot bnget
1,Kecewa bener saya bibit 10.000 malah kurang jadi 9.000,kecewa bener
